time_min,epoch_ms,hr_bpm,rmssd_ms,palpitation,event,warning,connection,posture
0.0000,1776137400000,,,0,,,connected,sit
0.0000,1776137400000,87,28.3,0,,,,
0.0667,1776137404000,87,26.7,0,,,,
0.1333,1776137408000,86,27.9,0,,,,
0.2000,1776137412000,87,26.8,0,,,,
0.2667,1776137416000,86,26.8,0,,,,
0.3333,1776137420000,87,28.3,0,,,,
0.4000,1776137424000,88,29.6,0,,,,
0.4667,1776137428000,85,27.8,0,,,,
0.5333,1776137432000,87,26.7,0,,,,
0.6000,1776137436000,85,28.6,0,,,,
0.6667,1776137440000,86,27.6,0,,,,
0.7333,1776137444000,88,27.7,0,,,,
0.8000,1776137448000,87,28.6,0,,,,
0.8667,1776137452000,86,26.9,0,,,,
0.9333,1776137456000,87,28.1,0,,,,
1.0000,1776137460000,86,29.4,0,,,,
1.0667,1776137464000,87,27.7,0,,,,
1.1333,1776137468000,87,28.4,0,,,,
1.2000,1776137472000,85,27,0,,,,
1.2667,1776137476000,88,27.5,0,,,,
1.3333,1776137480000,87,29.3,0,,,,
1.4000,1776137484000,86,28.4,0,,,,
1.4667,1776137488000,86,27.4,0,,,,
1.5333,1776137492000,85,28.9,0,,,,
1.6000,1776137496000,86,29.6,0,,,,
1.6667,1776137500000,87,28.5,0,,,,
1.7333,1776137504000,87,27.9,0,,,,
1.8000,1776137508000,88,29.1,0,,,,
1.8667,1776137512000,86,27.9,0,,,,
1.9333,1776137516000,86,27.6,0,,,,
2.0000,1776137520000,86,27.6,0,,,,
2.0667,1776137524000,87,29.2,0,,,,
2.1333,1776137528000,88,29.4,0,,,,
2.2000,1776137532000,87,29.2,0,,,,
2.2667,1776137536000,86,29.9,0,,,,
2.3333,1776137540000,88,29.2,0,,,,
2.4000,1776137544000,87,29.1,0,,,,
2.4667,1776137548000,88,30.3,0,,,,
2.5333,1776137552000,86,28.6,0,,,,
2.6000,1776137556000,87,29.8,0,,,,
2.6667,1776137560000,86,29.5,0,,,,
2.7333,1776137564000,87,28.4,0,,,,
2.8000,1776137568000,87,28.1,0,,,,
2.8667,1776137572000,86,28.2,0,,,,
2.9333,1776137576000,87,29.5,0,,,,
3.0000,1776137580000,88,30.2,0,,,,
3.0667,1776137584000,88,30.1,0,,,,
3.1333,1776137588000,87,29.5,0,,,,
3.2000,1776137592000,88,28,0,,,,
3.2667,1776137596000,86,29.2,0,,,,
3.3333,1776137600000,86,30,0,,,,
3.4000,1776137604000,88,29.1,0,,,,
3.4667,1776137608000,88,30,0,,,,
3.5333,1776137612000,86,28.7,0,,,,
3.6000,1776137616000,88,28.2,0,,,,
3.6667,1776137620000,87,28,0,,,,
3.7333,1776137624000,87,30.1,0,,,,
3.8000,1776137628000,89,28.1,0,,,,
3.8667,1776137632000,89,30.7,0,,,,
3.9333,1776137636000,88,30.2,0,,,,
4.0000,1776137640000,87,28.3,0,,,,
4.0667,1776137644000,87,29.3,0,,,,
4.1333,1776137648000,88,30.3,0,,,,
4.2000,1776137652000,86,30.6,0,,,,
4.2667,1776137656000,89,28.2,0,,,,
4.3333,1776137660000,88,30.3,0,,,,
4.4000,1776137664000,88,30.6,0,,,,
4.4667,1776137668000,87,29.6,0,,,,
4.5333,1776137672000,87,31.1,0,,,,
4.6000,1776137676000,87,30.4,0,,,,
4.6667,1776137680000,87,28.4,0,,,,
4.7333,1776137684000,88,29.7,0,,,,
4.8000,1776137688000,86,29.2,0,,,,
4.8667,1776137692000,88,30.7,0,,,,
4.9333,1776137696000,88,28.4,0,,,,
5.0000,1776137700000,87,30,0,,,,
5.0667,1776137704000,87,28.6,0,,,,
5.1333,1776137708000,89,29.9,0,,,,
5.2000,1776137712000,86,28.6,0,,,,
5.2667,1776137716000,87,29.3,0,,,,
5.3333,1776137720000,89,29.1,0,,,,
5.4000,1776137724000,89,28.7,0,,,,
5.4667,1776137728000,89,30.3,0,,,,
5.5333,1776137732000,88,30.8,0,,,,
5.6000,1776137736000,87,31.3,0,,,,
5.6667,1776137740000,89,31.2,0,,,,
5.7333,1776137744000,87,28.8,0,,,,
5.8000,1776137748000,87,30.6,0,,,,
5.8667,1776137752000,89,31.2,0,,,,
5.9333,1776137756000,88,29.1,0,,,,
6.0000,1776137760000,87,29.4,0,,,,
6.0667,1776137764000,89,31,0,,,,
6.1333,1776137768000,88,31,0,,,,
6.2000,1776137772000,88,29.8,0,,,,
6.2667,1776137776000,88,28.9,0,,,,
6.3333,1776137780000,88,31.7,0,,,,
6.4000,1776137784000,89,29.7,0,,,,
6.4667,1776137788000,88,31,0,,,,
6.5333,1776137792000,88,31.9,0,,,,
6.6000,1776137796000,88,30.5,0,,,,
6.6667,1776137800000,89,29.6,0,,,,
6.7333,1776137804000,88,29.8,0,,,,
6.8000,1776137808000,87,30.1,0,,,,
6.8667,1776137812000,87,29.1,0,,,,
6.9333,1776137816000,87,31.1,0,,,,
7.0000,1776137820000,87,31.1,0,,,,
7.0667,1776137824000,87,31.6,0,,,,
7.1333,1776137828000,87,31.4,0,,,,
7.2000,1776137832000,89,31.5,0,,,,
7.2667,1776137836000,87,30.9,0,,,,
7.3333,1776137840000,89,31.2,0,,,,
7.4000,1776137844000,88,29.8,0,,,,
7.4667,1776137848000,87,31.2,0,,,,
7.5333,1776137852000,89,30.9,0,,,,
7.6000,1776137856000,87,30.6,0,,,,
7.6667,1776137860000,89,30.6,0,,,,
7.7333,1776137864000,88,32.2,0,,,,
7.8000,1776137868000,89,30.3,0,,,,
7.8667,1776137872000,87,29.8,0,,,,
7.9333,1776137876000,89,30.5,0,,,,
8.0000,1776137880000,88,30.7,0,,,,
8.0667,1776137884000,87,30.2,0,,,,
8.1333,1776137888000,88,29.6,0,,,,
8.2000,1776137892000,89,29.5,0,,,,
8.2667,1776137896000,88,31.5,0,,,,
8.3333,1776137900000,88,31.6,0,,,,
8.4000,1776137904000,88,30.1,0,,,,
8.4667,1776137908000,88,29.9,0,,,,
8.5333,1776137912000,88,32.1,0,,,,
8.6000,1776137916000,87,32.3,0,,,,
8.6667,1776137920000,88,30.3,0,,,,
8.7333,1776137924000,88,32.3,0,,,,
8.8000,1776137928000,89,31.1,0,,,,
8.8667,1776137932000,87,31.4,0,,,,
8.9333,1776137936000,89,32.1,0,,,,
9.0000,1776137940000,89,31.4,0,,,,
9.0667,1776137944000,86,29.9,0,,,,
9.1333,1776137948000,88,31,0,,,,
9.2000,1776137952000,87,31.5,0,,,,
9.2667,1776137956000,88,30.6,0,,,,
9.3333,1776137960000,88,32.3,0,,,,
9.4000,1776137964000,88,31,0,,,,
9.4667,1776137968000,88,30.3,0,,,,
9.5333,1776137972000,88,30.6,0,,,,
9.6000,1776137976000,87,30.6,0,,,,
9.6667,1776137980000,86,31.9,0,,,,
9.7333,1776137984000,88,30.2,0,,,,
9.8000,1776137988000,88,31.8,0,,,,
9.8667,1776137992000,87,30.6,0,,,,
9.9333,1776137996000,89,32.2,0,,,,
10.0000,1776138000000,88,30.6,0,,,,
10.0667,1776138004000,88,32.1,0,,,,
10.1333,1776138008000,86,30.9,0,,,,
10.2000,1776138012000,86,31.3,0,,,,
10.2667,1776138016000,87,31.4,0,,,,
10.3333,1776138020000,88,30.4,0,,,,
10.4000,1776138024000,86,32.8,0,,,,
10.4667,1776138028000,86,32.3,0,,,,
10.5333,1776138032000,87,31.9,0,,,,
10.6000,1776138036000,87,30.3,0,,,,
10.6667,1776138040000,87,30,0,,,,
10.7333,1776138044000,85,32.5,0,,,,
10.8000,1776138048000,88,30.2,0,,,,
10.8667,1776138052000,86,30.5,0,,,,
10.9333,1776138056000,87,30.7,0,,,,
11.0000,1776138060000,85,30.4,0,,,,
11.0667,1776138064000,86,31.3,0,,,,
11.1333,1776138068000,86,32.2,0,,,,
11.2000,1776138072000,87,31.6,0,,,,
11.2667,1776138076000,87,31.7,0,,,,
11.3333,1776138080000,85,30.7,0,,,,
11.4000,1776138084000,86,32.7,0,,,,
11.4667,1776138088000,86,30.3,0,,,,
11.5333,1776138092000,86,31.3,0,,,,
11.6000,1776138096000,86,32.9,0,,,,
11.6667,1776138100000,87,33.1,0,,,,
11.7333,1776138104000,87,30.9,0,,,,
11.8000,1776138108000,88,31.7,0,,,,
11.8667,1776138112000,86,31.9,0,,,,
11.9333,1776138116000,87,32.4,0,,,,
12.0000,1776138120000,87,32.4,0,,,,
12.0667,1776138124000,87,32.9,0,,,,
12.1333,1776138128000,86,32.9,0,,,,
12.2000,1776138132000,87,30.5,0,,,,
12.2667,1776138136000,85,31.5,0,,,,
12.3333,1776138140000,85,32.5,0,,,,
12.4000,1776138144000,87,30.5,0,,,,
12.4667,1776138148000,87,31.2,0,,,,
12.5333,1776138152000,87,32.1,0,,,,
12.6000,1776138156000,85,33.2,0,,,,
12.6667,1776138160000,87,32.9,0,,,,
12.7333,1776138164000,85,31.8,0,,,,
12.8000,1776138168000,85,33,0,,,,
12.8667,1776138172000,87,31.8,0,,,,
12.9333,1776138176000,87,33.3,0,,,,
13.0000,1776138180000,87,31.2,0,,,,
13.0667,1776138184000,87,31.9,0,,,,
13.1333,1776138188000,86,32.1,0,,,,
13.2000,1776138192000,87,31.6,0,,,,
13.2667,1776138196000,85,31.7,0,,,,
13.3333,1776138200000,85,32.8,0,,,,
13.4000,1776138204000,85,30.9,0,,,,
13.4667,1776138208000,86,31.1,0,,,,
13.5333,1776138212000,87,33,0,,,,
13.6000,1776138216000,86,31.8,0,,,,
13.6667,1776138220000,87,32.9,0,,,,
13.7333,1776138224000,87,32.7,0,,,,
13.8000,1776138228000,85,32.6,0,,,,
13.8667,1776138232000,85,31.4,0,,,,
13.9333,1776138236000,84,33,0,,,,
14.0000,1776138240000,85,30.8,0,,,,
14.0667,1776138244000,87,32.3,0,,,,
14.1333,1776138248000,87,30.6,0,,,,
14.2000,1776138252000,85,32.2,0,,,,
14.2667,1776138256000,86,31.8,0,,,,
14.3333,1776138260000,84,30.5,0,,,,
14.4000,1776138264000,84,33.1,0,,,,
14.4667,1776138268000,86,32.4,0,,,,
14.5333,1776138272000,85,32.6,0,,,,
14.6000,1776138276000,84,32.7,0,,,,
14.6667,1776138280000,84,33.3,0,,,,
14.7333,1776138284000,85,31,0,,,,
14.8000,1776138288000,84,33.3,0,,,,
14.8667,1776138292000,84,31.2,0,,,,
14.9333,1776138296000,83,31.4,0,,,,
15.0000,1776138300000,86,30.6,0,,,,
15.0667,1776138304000,85,31.2,0,,,,
15.1333,1776138308000,84,33.4,0,,,,
15.2000,1776138312000,86,30.6,0,,,,
15.2667,1776138316000,84,31.6,0,,,,
15.3333,1776138320000,84,31.5,0,,,,
15.4000,1776138324000,84,32.9,0,,,,
15.4667,1776138328000,85,31.4,0,,,,
15.5333,1776138332000,85,30.6,0,,,,
15.6000,1776138336000,85,32.6,0,,,,
15.6667,1776138340000,83,33.3,0,,,,
15.7333,1776138344000,85,31,0,,,,
15.8000,1776138348000,85,31.7,0,,,,
15.8667,1776138352000,84,33.2,0,,,,
15.9333,1776138356000,83,30.9,0,,,,
16.0000,1776138360000,84,32.7,0,,,,
16.0667,1776138364000,84,33.5,0,,,,
16.1333,1776138368000,85,31.5,0,,,,
16.2000,1776138372000,85,31.1,0,,,,
16.2667,1776138376000,84,32.6,0,,,,
16.3333,1776138380000,86,32.5,0,,,,
16.4000,1776138384000,85,32.6,0,,,,
16.4667,1776138388000,85,31.4,0,,,,
16.5333,1776138392000,83,33.4,0,,,,
16.6000,1776138396000,84,30.8,0,,,,
16.6667,1776138400000,83,32.6,0,,,,
16.7333,1776138404000,83,33.4,0,,,,
16.8000,1776138408000,85,32,0,,,,
16.8667,1776138412000,83,31.9,0,,,,
16.9333,1776138416000,84,31.3,0,,,,
17.0000,1776138420000,85,31.2,0,,,,
17.0667,1776138424000,86,31.1,0,,,,
17.1333,1776138428000,84,33.4,0,,,,
17.2000,1776138432000,84,31.4,0,,,,
17.2667,1776138436000,86,30.9,0,,,,
17.3333,1776138440000,84,31,0,,,,
17.4000,1776138444000,85,31.5,0,,,,
17.4667,1776138448000,83,32.2,0,,,,
17.5333,1776138452000,95,26.6,0,,,,
17.6000,1776138456000,98,25.7,0,,,,
17.6667,1776138460000,98,26.5,0,,,,
17.7333,1776138464000,100,27.5,0,,,,
17.8000,1776138468000,99,26.9,0,,,,
17.8667,1776138472000,102,23.8,0,,,,
17.9333,1776138476000,103,23.3,0,,,,
18.0000,1776138480000,103,24.8,0,,,,
18.0667,1776138484000,106,23.1,0,,,,
18.1333,1776138488000,104,24.2,0,,,,
18.2000,1776138492000,108,24.3,0,,,,
18.2667,1776138496000,108,23.1,0,,,,
18.3333,1776138500000,109,23,0,,,,
18.4000,1776138504000,109,21.5,0,,,,
18.4667,1776138508000,111,22.4,0,,,,
18.5333,1776138512000,112,21.9,0,,,,
18.6000,1776138516000,113,20.6,0,,,,
18.6667,1776138520000,112,21.1,0,,,,
18.7333,1776138524000,114,19.2,0,,,,
18.8000,1776138528000,112,20.6,0,,,,
18.8667,1776138532000,112,19.7,0,,,,
18.9333,1776138536000,115,18.7,0,,,,
19.0000,1776138540000,114,18.8,0,,,,
19.0667,1776138544000,113,19.9,0,,,,
19.1333,1776138548000,113,18.8,0,,,,
19.2000,1776138552000,114,20.1,0,,,,
19.2667,1776138556000,113,18.9,0,,,,
19.3333,1776138560000,112,21.3,0,,,,
19.4000,1776138564000,112,19.7,0,,,,
19.4667,1776138568000,111,19.4,0,,,,
19.5333,1776138572000,109,21.4,0,,,,
19.6000,1776138576000,110,20,0,,,,
19.6667,1776138580000,109,20.7,0,,,,
19.7333,1776138584000,107,21.2,0,,,,
19.8000,1776138588000,106,21.4,0,,,,
19.8667,1776138592000,107,22.3,0,,,,
19.9333,1776138596000,104,25,0,,,,
20.0000,1776138600000,103,23.8,0,,,,
20.0667,1776138604000,103,25.2,0,,,,
20.1333,1776138608000,101,23.6,0,,,,
20.2000,1776138612000,98,24.6,0,,,,
20.2667,1776138616000,100,26.2,0,,,,
20.3333,1776138620000,99,26.5,0,,,,
20.4000,1776138624000,96,25.7,0,,,,
20.4667,1776138628000,95,25.9,0,,,,
20.5333,1776138632000,93,26.2,0,,,,
20.6000,1776138636000,94,28.8,0,,,,
20.6667,1776138640000,91,26.9,0,,,,
20.7333,1776138644000,91,28.2,0,,,,
20.8000,1776138648000,93,30.1,0,,,,
20.8667,1776138652000,91,28.5,0,,,,
20.9333,1776138656000,89,30.5,0,,,,
21.0000,1776138660000,88,30,0,,,,
21.0667,1776138664000,90,28.4,0,,,,
21.1333,1776138668000,88,30.7,0,,,,
21.2000,1776138672000,87,29.5,0,,,,
21.2667,1776138676000,87,29.6,0,,,,
21.3333,1776138680000,86,30,0,,,,
21.4000,1776138684000,86,30.6,0,,,,
21.4667,1776138688000,86,30.8,0,,,,
21.5333,1776138692000,87,30.3,0,,,,
21.6000,1776138696000,85,30.2,0,,,,
21.6667,1776138700000,85,29.8,0,,,,
21.7333,1776138704000,84,30.3,0,,,,
21.8000,1776138708000,86,32.1,0,,,,
21.8667,1776138712000,85,31.7,0,,,,
21.9333,1776138716000,86,29.9,0,,,,
22.0000,1776138720000,85,32.1,0,,,,
22.0667,1776138724000,84,31.6,0,,,,
22.1333,1776138728000,86,32.6,0,,,,
22.2000,1776138732000,85,30.1,0,,,,
22.2667,1776138736000,84,31.7,0,,,,
22.3333,1776138740000,86,30.1,0,,,,
22.4000,1776138744000,84,32.1,0,,,,
22.4667,1776138748000,84,29.7,0,,,,
22.5333,1776138752000,84,30.4,0,,,,
22.6000,1776138756000,85,31.4,0,,,,
22.6667,1776138760000,86,32.5,0,,,,
22.7333,1776138764000,86,31.3,0,,,,
22.8000,1776138768000,85,31.4,0,,,,
22.8667,1776138772000,86,30,0,,,,
22.9333,1776138776000,85,30.4,0,,,,
23.0000,1776138780000,85,29.6,0,,,,
23.0667,1776138784000,86,31.1,0,,,,
23.1333,1776138788000,86,31.6,0,,,,
23.2000,1776138792000,85,30.1,0,,,,
23.2667,1776138796000,85,29.6,0,,,,
23.3333,1776138800000,86,30.2,0,,,,
23.4000,1776138804000,85,29.6,0,,,,
23.4667,1776138808000,85,30.7,0,,,,
23.5333,1776138812000,86,31.8,0,,,,
23.6000,1776138816000,86,30.4,0,,,,
23.6667,1776138820000,85,31.3,0,,,,
23.7333,1776138824000,84,31,0,,,,
23.8000,1776138828000,87,30.7,0,,,,
23.8667,1776138832000,86,32.2,0,,,,
23.9333,1776138836000,87,30.5,0,,,,
24.0000,1776138840000,87,31.5,0,,,,
24.0667,1776138844000,86,31,0,,,,
24.1333,1776138848000,86,31.5,0,,,,
24.2000,1776138852000,84,29.9,0,,,,
24.2667,1776138856000,84,32,0,,,,
24.3333,1776138860000,87,30.7,0,,,,
24.4000,1776138864000,85,30.1,0,,,,
24.4667,1776138868000,86,29.7,0,,,,
24.5333,1776138872000,84,29.1,0,,,,
24.6000,1776138876000,87,30.3,0,,,,
24.6667,1776138880000,85,31.2,0,,,,
24.7333,1776138884000,85,30.7,0,,,,
24.8000,1776138888000,85,30.4,0,,,,
24.8667,1776138892000,86,29.5,0,,,,
24.9333,1776138896000,87,29.5,0,,,,
25.0000,1776138900000,85,29.1,0,,,,
25.0667,1776138904000,86,30,0,,,,
25.1333,1776138908000,85,30.3,0,,,,
25.2000,1776138912000,85,30.8,0,,,,
25.2667,1776138916000,87,29.7,0,,,,
25.3333,1776138920000,87,29,0,,,,
25.4000,1776138924000,85,31,0,,,,
25.4667,1776138928000,86,31.1,0,,,,
25.5333,1776138932000,88,29.6,0,,,,
25.6000,1776138936000,88,29.4,0,,,,
25.6667,1776138940000,86,30,0,,,,
25.7333,1776138944000,88,30.7,0,,,,
25.8000,1776138948000,87,29.9,0,,,,
25.8667,1776138952000,88,29.2,0,,,,
25.9333,1776138956000,87,29.6,0,,,,
26.0000,1776138960000,86,28.6,0,,,,
26.0667,1776138964000,85,30.4,0,,,,
26.1333,1776138968000,87,31.1,0,,,,
26.2000,1776138972000,86,29.6,0,,,,
26.2667,1776138976000,86,28.6,0,,,,
26.3333,1776138980000,86,30.5,0,,,,
26.4000,1776138984000,85,29.4,0,,,,
26.4667,1776138988000,87,29.8,0,,,,
26.5333,1776138992000,86,30.3,0,,,,
26.6000,1776138996000,88,29,0,,,,
26.6667,1776139000000,87,29.7,0,,,,
26.7333,1776139004000,88,28.4,0,,,,
26.8000,1776139008000,86,31.2,0,,,,
26.8667,1776139012000,87,29.1,0,,,,
26.9333,1776139016000,87,29.6,0,,,,
27.0000,1776139020000,87,31.1,0,,,,
27.0667,1776139024000,86,29.9,0,,,,
27.1333,1776139028000,86,31,0,,,,
27.2000,1776139032000,88,30,0,,,,
27.2667,1776139036000,88,30.3,0,,,,
27.3333,1776139040000,88,30.6,0,,,,
27.4000,1776139044000,88,29.1,0,,,,
27.4667,1776139048000,87,30.3,0,,,,
27.5333,1776139052000,86,28.5,0,,,,
27.6000,1776139056000,87,30.3,0,,,,
27.6667,1776139060000,88,28.6,0,,,,
27.7333,1776139064000,88,29.7,0,,,,
27.8000,1776139068000,87,30,0,,,,
27.8667,1776139072000,88,28.9,0,,,,
27.9333,1776139076000,87,30.8,0,,,,
28.0000,1776139080000,86,30.4,0,,,,
28.0667,1776139084000,88,30.2,0,,,,
28.1333,1776139088000,86,29.8,0,,,,
28.2000,1776139092000,88,30.7,0,,,,
28.2667,1776139096000,88,28.9,0,,,,
28.3333,1776139100000,88,28.7,0,,,,
28.4000,1776139104000,88,28.2,0,,,,
28.4667,1776139108000,87,29.9,0,,,,
28.5333,1776139112000,87,28.2,0,,,,
28.6000,1776139116000,87,29,0,,,,
28.6667,1776139120000,87,30.5,0,,,,
28.7333,1776139124000,86,28.6,0,,,,
28.8000,1776139128000,87,29.1,0,,,,
28.8667,1776139132000,89,30.3,0,,,,
28.9333,1776139136000,88,29.9,0,,,,
29.0000,1776139140000,87,28.4,0,,,,
29.0667,1776139144000,89,29.2,0,,,,
29.1333,1776139148000,88,27.9,0,,,,
29.2000,1776139152000,89,30.4,0,,,,
29.2667,1776139156000,89,28.9,0,,,,
29.3333,1776139160000,87,27.9,0,,,,
29.4000,1776139164000,87,27.4,0,,,,
29.4667,1776139168000,89,29.3,0,,,,
29.5333,1776139172000,89,28.2,0,,,,
29.6000,1776139176000,89,29.4,0,,,,
29.6667,1776139180000,89,29,0,,,,
29.7333,1776139184000,87,27.3,0,,,,
29.8000,1776139188000,88,28.4,0,,,,
29.8667,1776139192000,89,27.7,0,,,,
29.9333,1776139196000,87,29.7,0,,,,
30.0000,1776139200000,87,27.4,0,,,,
30.0667,1776139204000,88,28.5,0,,,,
30.1333,1776139208000,87,28.4,0,,,,
30.2000,1776139212000,87,27.9,0,,,,
30.2667,1776139216000,88,28.2,0,,,,
30.3333,1776139220000,87,28.7,0,,,,
